GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_05818	0.8196	3.0280	0.7419	0.6615	0.8963	1.6913	1.3193	0.6821	1.1068	2.5806	1.4860	1.3158	0.9108	0.8286	0.3801	0.9905	3.9261	0.9190	0.8424	1.3950	1.0994	0.6656	3.6995	0.8489	0.9024	0.9760	0.8857
G232_05819	0.9138	0.4476	0.7070	0.5409	0.6826	0.8304	0.8193	0.9404	0.6680	0.6747	1.0085	0.6096	0.6730	0.8393	0.7135	0.9810	0.2335	0.9085	0.6545	1.0504	0.8645	0.6429	0.4384	0.5899	0.6301	0.7728	0.8459
G232_05820	0.8692	4.6014	0.9382	0.5914	0.4627	0.7217	0.9337	0.5099	0.7767	2.3414	1.0049	0.5000	0.5839	0.7179	0.8743	0.6286	3.8560	0.5423	1.4909	1.2185	0.5729	0.6039	4.3892	0.8921	0.6583	0.6112	0.8725
