GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_07101	0.6462	1.0490	0.9892	0.7354	0.7884	0.8217	1.0422	0.9603	0.7592	0.6747	0.0024	0.8070	0.6964	0.6214	1.0292	0.7333	1.3541	0.6268	0.7030	0.4370	1.0310	0.7143	1.2463	0.7986	0.6560	0.5904	0.6563
G232_07102	0.7572	0.2168	0.9839	0.8560	0.7635	0.6826	0.5422	0.7682	0.9126	0.5538	1.4336	0.6667	0.8854	0.8036	1.2456	0.6762	0.1751	0.5898	1.0485	0.7983	0.9226	0.8701	0.1379	0.7050	0.8139	0.8176	0.8547
G232_07103	0.7770	0.8392	0.8145	0.7082	0.9917	0.9913	0.8675	0.8874	0.9864	0.6989	1.3922	1.0175	0.7410	0.8929	1.5146	1.3714	0.4241	0.9754	0.5515	0.6639	0.6581	0.7175	0.6404	0.4388	0.8200	0.9392	0.7458
G232_07104	1.0555	0.9371	0.8065	0.8560	0.9440	1.0348	0.8735	0.8742	0.6718	0.9462	1.2960	0.9211	0.8301	0.8607	1.1988	0.8952	1.1907	0.8081	0.8606	0.6891	0.8142	0.7468	0.8276	0.7050	0.8909	0.6336	0.7458
G232_07105	0.7334	0.0000	0.9462	0.8872	0.9917	0.4826	0.2410	1.2450	0.9340	0.8038	1.5128	0.7851	0.5393	0.8893	1.1228	0.8667	0.0233	0.6285	0.4788	0.3361	0.9084	0.5390	0.0049	0.4532	0.8177	1.0560	0.9327
G232_07106	0.6472	0.8322	0.8280	0.7549	0.8029	0.7739	0.9880	0.8808	0.9748	0.7930	1.3581	1.0351	1.1677	0.7536	1.4444	0.8286	1.0467	0.8820	1.0545	0.6975	0.8735	0.8182	1.2365	0.8417	0.9161	1.0192	0.9743
G232_07107	0.7512	2.9860	0.8441	0.6848	0.6763	1.0565	1.0964	0.8874	0.7398	2.7151	1.4555	1.0132	0.7898	0.9464	1.2661	1.3143	5.0623	1.0035	1.0485	0.9748	0.7290	1.0065	4.0788	0.5180	0.8398	0.9056	0.8813
G232_07108	0.6601	0.0000	1.0753	1.0039	0.5415	0.8435	1.5361	0.9801	1.5476	0.7554	1.9123	1.2807	1.2951	1.2250	2.3801	1.6286	0.0000	1.2394	1.0727	0.4286	0.9600	1.4481	0.0690	0.5971	0.9542	1.4320	1.1878
