GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10181	8.18	0.78	6.41	2.55	3.31	1.24	0.83	1.70	4.57	2.60	11.59	1.94	4.09	2.97	3.98	1.12	1.00	4.54	1.21	0.82	5.49	2.68	0.96	0.74	11.46	4.02	9.07
G232_10182	8.84	2.53	6.57	2.03	3.81	2.48	1.41	1.42	4.41	7.43	11.73	1.79	4.22	2.47	4.54	0.92	6.59	6.13	1.21	0.97	5.91	3.01	3.83	0.82	12.39	5.56	9.95
G232_10183	7.25	11.51	6.17	2.41	3.83	3.57	2.89	2.08	3.76	21.69	13.27	1.10	2.83	2.39	4.37	0.89	18.78	4.57	1.82	1.45	5.97	4.51	15.60	1.05	9.07	4.40	8.34
G232_10184	7.04	0.36	8.95	2.64	5.45	2.20	0.49	1.88	5.26	1.40	5.84	1.57	3.22	2.95	2.38	1.19	0.38	5.25	0.64	0.97	8.03	3.28	0.57	1.60	10.06	5.60	10.27
