GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_07272	0.8375	2.2378	0.7621	0.7860	0.5871	0.9957	0.5602	1.0331	0.7340	2.1183	1.2278	0.6272	0.8599	0.7929	1.4444	0.7905	2.8521	1.1162	0.5758	1.3445	0.6594	0.8149	2.9655	0.7122	0.9161	0.8128	0.9132
G232_07273	1.2597	0.3427	0.7621	1.2879	0.7095	1.0391	1.4578	0.8808	0.8427	0.5000	1.7540	1.2544	0.9321	0.7714	1.6608	0.8857	0.1634	0.6567	1.1333	1.0672	1.0568	0.9578	0.2956	0.6835	0.9039	0.7728	0.7998
G232_07274	0.8464	0.8392	0.8051	0.6498	0.8880	0.6043	1.0241	0.6225	0.7981	0.8118	1.1973	0.6491	0.8854	0.8857	1.1930	0.7143	0.9066	0.8046	0.8061	1.1008	0.8968	0.9156	1.1133	1.2302	0.8108	0.8960	0.8477
