GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_00767	0.6293	0.0000	0.6949	0.6537	0.8714	0.5130	0.3313	0.5894	0.7126	0.3575	1.3045	0.5877	0.8280	0.6821	1.4269	0.6095	0.0467	0.7342	0.5394	0.6387	0.6619	0.7403	0.1133	0.5324	0.9649	0.7328	0.8919
G232_00768	0.9346	1.5035	0.9530	0.7626	0.7427	0.7652	1.0904	1.0861	0.9184	1.2876	1.0658	1.0307	0.8599	1.0143	1.0263	0.7810	2.0078	0.9648	1.0606	0.9916	0.8323	0.8214	1.8227	0.6259	0.8612	0.8256	0.7759
G232_00769	0.7661	0.2028	0.8817	0.9027	0.7427	0.7261	0.7349	0.7947	0.8544	0.5457	1.2875	0.7719	0.7643	0.8500	1.0819	0.7143	0.4825	0.9014	0.5636	0.8403	0.8516	0.8604	0.3842	0.7842	0.8368	0.9072	0.8211
