GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_09734	0.9633	1.4336	0.9355	0.7821	0.8921	0.6913	0.6988	0.9603	0.7107	1.7661	1.4616	0.7939	0.7495	0.9500	1.4415	0.8762	1.5837	0.9243	0.8424	0.6891	0.5923	1.0779	1.5123	0.4820	0.9359	0.8480	0.8698
G232_09735	1.1080	0.0909	0.8522	0.5136	0.7656	0.7565	0.9217	1.0464	1.0680	0.3172	1.9099	1.3465	0.8068	1.0321	1.3538	0.8476	0.0000	0.7342	1.2424	1.0252	1.0581	1.1753	0.1281	0.5683	0.7201	1.0496	0.9655
G232_09736	0.7641	1.2657	0.8024	0.7471	0.7905	1.0391	1.1084	0.8609	0.8427	1.6210	1.7284	0.8640	1.0531	0.7929	1.1316	0.7905	1.3463	0.9349	0.7152	0.6471	0.6994	0.8377	1.3695	0.8633	0.8642	0.8416	0.9043
