GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10452	5.34	0.42	7.24	2.42	3.83	2.83	0.83	0.92	3.13	0.94	8.95	1.10	2.75	1.66	2.01	1.38	0.00	5.33	0.63	0.95	4.95	3.00	0.00	1.17	10.65	5.85	9.69
G232_10453	7.88	4.21	6.24	1.81	3.92	2.04	1.88	1.42	4.17	5.84	11.46	2.35	5.19	2.68	3.50	1.28	6.81	5.05	2.08	1.25	4.66	2.22	4.45	1.18	11.82	7.36	11.29
G232_10454	6.47	1.87	6.66	0.81	2.92	2.36	1.36	1.14	2.98	6.20	5.21	1.61	2.49	3.08	3.01	0.08	4.50	4.21	2.05	1.09	3.40	2.74	4.02	0.44	9.36	4.87	9.49
