GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_10792	8.32	0.03	6.37	2.02	4.05	1.19	1.64	1.58	5.43	1.53	11.94	2.44	5.50	3.85	4.05	0.92	0.00	3.64	1.22	0.69	8.04	2.17	0.12	1.28	10.59	5.92	8.42
G232_10793	9.02	3.63	6.92	1.98	3.46	2.16	1.64	1.48	4.43	7.38	9.88	1.92	3.32	3.07	4.50	0.78	5.75	4.57	1.36	0.52	6.95	3.47	4.21	0.58	13.77	5.01	9.33
G232_10794	10.16	0.18	5.77	1.99	2.98	1.89	0.26	0.30	5.24	0.55	13.13	1.50	4.20	3.59	5.44	0.00	0.00	4.63	1.53	1.29	5.53	3.24	0.00	1.17	10.94	4.43	9.70
G232_10795	6.92	3.91	6.96	2.35	4.08	3.09	2.04	1.30	3.43	7.22	10.51	1.05	3.72	3.14	4.69	1.06	6.23	5.61	1.90	1.07	7.73	4.09	6.33	1.63	11.19	4.45	10.20
G232_10796	7.10	2.66	5.27	2.30	3.67	1.90	2.13	1.17	5.61	4.84	12.13	2.28	3.74	2.78	4.92	0.99	4.75	5.41	1.88	0.67	5.93	2.23	3.00	0.93	10.32	4.68	11.23
G232_10797	7.61	0.51	6.08	1.88	3.87	2.08	1.27	1.40	4.23	2.34	9.50	1.60	4.24	2.17	3.82	0.32	0.71	5.13	1.97	0.75	6.74	2.04	0.96	0.93	10.89	4.73	9.10
G232_10798	8.28	0.46	5.46	2.19	2.78	1.21	1.33	1.42	4.62	1.95	1.45	2.43	3.69	2.13	2.95	0.78	0.23	5.07	1.36	0.93	6.10	1.86	0.24	0.91	10.02	5.01	8.58
