GENE	Rstd	SM102	SM104	SM105	SM108	SM109	SM11	SM122	SM13	SM14	SM18	SM24	SM27	SM28	SM29	SM35	SM36	SM42	SM48	SM57	SM66	SM67	SM72	SM74	SM84	SM9	SM91
G232_06858	0.8563	0.5035	0.8965	0.9066	0.7573	0.7087	0.8133	1.0199	1.0369	0.9758	1.2680	0.7193	0.9130	0.7464	1.3070	0.9048	0.5875	0.8820	0.9152	0.6723	0.7626	1.1688	0.6650	0.5899	0.8993	0.7056	0.8025
G232_06859	0.6799	0.4126	0.5954	0.6498	0.5954	0.3348	0.6928	0.7483	0.6252	0.8898	1.1559	0.7018	0.7856	0.7393	0.6696	0.7714	0.1595	0.9489	0.5576	0.1345	0.4761	0.4156	0.3103	0.5324	0.9291	0.8192	0.6873
G232_06860	0.8206	0.7343	0.8629	0.4786	0.7905	0.3435	0.7289	0.6159	0.8388	0.9489	1.3544	0.7325	0.7537	0.4107	1.1608	0.6286	1.0739	0.8908	1.0000	0.2185	0.4955	0.5032	0.9015	0.2518	0.8543	0.5888	0.7582
